uid c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 total
431  4  2  0  8  5 32  8 61 60 88  268
544  0  0  0  0  0  0 10 76101 81  268
292  1  0  1  1  8 21 57 97 71 21  278
387  0  3  0  5  0 36  0121  0114  279
577  1  2  3  2  4  8 26 54 69110  279
312  0 25  0 52  0 76  0 74  0 57  284
460  3  3 11 11 13 17 51104 42 29  284
247  0  1  0 30  0102  0125  0 27  285
220  0 16  0 36  0 62  0122  0 53  289
239  0  3  0 15  0 90  0139  0 44  291
427  2  3  2 14  6 38 27108 33 61  294
561  0  4  3  9 15 61 63 87 41 13  296
608  0  4  0  7  0 68  0138  0 79  296
 95  0  0  0 15  0 73  0139  0 72  299
585  0  1  0  4  0 34  0141  0120  300
313  4  1  1 14 22 55 77 83 28 17  302
534  0  0  0 31  0 84  0151  0 37  303
430  6  4  6 13 15  7 42 71 63 78  305
243  1  2  7 17 25 71 74 84 11 15  307
537  0  9  0 20  0 52  0108  0118  307
355  0  5  5 15 14 55 58 93 38 25  308
134  0  4  1  9 10 36 25 81 93 52  311
598  0 21  0 36  0 72  8136  8 31  312
382  2 18  0 61 17 98 20 66  2 30  314
 77  8  5  8 19 30 49 72 91 33  0  315
402  0  1  1  7 12 66 77 94 50 11  319
128  0 16  0 29  0 60  0 97  0121  323
407  0  1  0  7  0 48  5128 32102  323
187  6  7  2  9 20 39 64 95 41 41  324
157  3  6  6 14 30 59 78 92 38  0  326
346  5 37  6 32  6 45 19 76 26 77  329
111  4  7 11  6 26 48 85 93 47 14  341
574  3  3  0  7 29 80 83 83 45  9  342
423  4  6 13 11 24 35 74 84 60 36  347
 17 16  6  4 20 22 30 45 64 79 77  363
299  1  2  2  0 12 10 58 97109 76  367
130  6 15  8 23 27 69 90104 25  8  375
514  0 19  0 25  0129  0143  0 60  376
480  3  0  3 10  9 34 66 93 84 76  378
615  1  2 10 14 20 63 94102 59 20  385
505  2  3  0  7 17182120 48 12  4  395
242  0  0  0  4  0 25  0151  0219  399
268  2  3 13 26 25 69 71 63 71 57  400
405  7  9 12 16 22 32 88110 71 45  412
150  8  9 14 31 66 97 78 74 30  6  413
199  2  2  5  8 17 49134151 38 16  422
285  0 46  0 63  0137  0128  0 48  422
 19  0 15  0 14  0195  0128  0 71  423
607  8  2  3  9 24 39129126 72 15  427
665  0 17  0 57  0187  0131  0 42  434
481  0  4  2 10 11 29 55118 74133  436
605  0 35  0 77  0188  0105  0 32  437
463  0 20  0 63  0158  0208  0 34  483
384  2  5  9 34 71126 99103 27  9  485
195  0 53  0 94  0200  0101  0 37  485
596  5  5  2 12 16 74169115 54 35  487
165 23 35 25 52 72 96 79 61 20 24  487
587  2  1  0  1  6 18105214 84 73  504
 48  0  0  1  5 50108174120 43 12  513
664  0  0  2  2 17 71124188106  9  519
353 15 41 42 73 81125121 20  3  0  521
 56  0 14  0126  0  0  0289  0 93  522
105  0  1  6 21 45161125141 17  8  525
575  0 22  0 84  0186  0166  0 89  547
529  1 22  1 49  9146 62218 39 57  604
358  0114  0 91  0118  0156  0138  617
654  1  3  3 12  7 29 82227189 73  626
119  0 16  0106  0161  0257  0101  641
306  0 15  0 67  0238  0291  0 34  645
475 38 63 32 93 80107 79103 33 27  655
262 28 35 37130145160 60 55  1 25  676
102  0  8  0 40  0 87  0369  0174  678
232  0 35  0 32  0 96  0276  0243  682
461 27 39 68 90 89 99123 89 49 23  696
518  0 25  0 55  0249  0246  0132  707
457 29 33113125122133 78 54 11 15  713
 23  3  6 15 32 43 76205183113 50  726
388  0 27  1 78 10165 35297 44135  792
472  0 23  1 56  5188 13315 40189  830
212  8 24 31 63142218172161 34 23  876
213  9 54 91146215153111 99 14 18  910
580  4 11 30 67 97197217231 63  5  922
509  1 30  2117 23278 55302 54 61  923
294  0  1  3 33 35220233299102 21  947
 30  0 20  0 86  0201  2505  1196 1011
311 25  8 38171 73308199117 54 26 1019
380  4 25 15108 74217155366 49 50 1063
468  4 15 68107302337258154 38  8 1291
452 14 80 22147 49415120379 28 86 1340
 73 39 30 34 79143269399385174 58 1610
 15 83274128217141312146251 56 92 1700
624 19 81139297156462135329 42 75 1735
564  0152  0187  0414  0707  0408 1868
547 53 79 58204177411378591226214 2391
